Comunidades autónomas	Tipo de dato	Periodo	Total
13 Madrid, Comunidad de	Tasa de variación acumulada	2015M11	""
13 Madrid, Comunidad de	Tasa de variación acumulada	2015M10	""
Otras Comunidades Autónomas	Dato base	2021M09	458.563
Otras Comunidades Autónomas	Dato base	2021M08	557.788
Otras Comunidades Autónomas	Dato base	2021M07	465.513
Otras Comunidades Autónomas	Dato base	2021M06	227.862
Otras Comunidades Autónomas	Dato base	2021M05	175.045
Otras Comunidades Autónomas	Dato base	2021M04	81.330
Otras Comunidades Autónomas	Dato base	2021M03	70.843
Otras Comunidades Autónomas	Dato base	2021M02	54.554
Otras Comunidades Autónomas	Dato base	2021M01	102.361
Otras Comunidades Autónomas	Dato base	2020M12	141.951
Otras Comunidades Autónomas	Dato base	2020M11	68.811
Otras Comunidades Autónomas	Dato base	2020M10	208.085
Otras Comunidades Autónomas	Dato base	2020M09	239.540
Otras Comunidades Autónomas	Dato base	2020M08	433.853
Otras Comunidades Autónomas	Dato base	2020M07	404.728
Otras Comunidades Autónomas	Dato base	2020M06	30.674
Otras Comunidades Autónomas	Dato base	2020M05	0
Otras Comunidades Autónomas	Dato base	2020M04	0
Otras Comunidades Autónomas	Dato base	2020M03	225.634
Otras Comunidades Autónomas	Dato base	2020M02	431.236
Otras Comunidades Autónomas	Dato base	2020M01	408.272
Otras Comunidades Autónomas	Dato base	2019M12	444.789
Otras Comunidades Autónomas	Dato base	2019M11	430.625
Otras Comunidades Autónomas	Dato base	2019M10	739.829
Otras Comunidades Autónomas	Dato base	2019M09	819.862
Otras Comunidades Autónomas	Dato base	2019M08	1.240.966
Otras Comunidades Autónomas	Dato base	2019M07	992.922
Otras Comunidades Autónomas	Dato base	2019M06	776.021
Otras Comunidades Autónomas	Dato base	2019M05	673.347
Otras Comunidades Autónomas	Dato base	2019M04	689.245
Otras Comunidades Autónomas	Dato base	2019M03	487.515
Otras Comunidades Autónomas	Dato base	2019M02	400.651
Otras Comunidades Autónomas	Dato base	2019M01	411.955
Otras Comunidades Autónomas	Dato base	2018M12	438.778
Otras Comunidades Autónomas	Dato base	2018M11	424.567
Otras Comunidades Autónomas	Dato base	2018M10	731.627
Otras Comunidades Autónomas	Dato base	2018M09	831.695
Otras Comunidades Autónomas	Dato base	2018M08	1.239.564
Otras Comunidades Autónomas	Dato base	2018M07	962.995
Otras Comunidades Autónomas	Dato base	2018M06	653.738
Otras Comunidades Autónomas	Dato base	2018M05	761.962
Otras Comunidades Autónomas	Dato base	2018M04	730.316
Otras Comunidades Autónomas	Dato base	2018M03	453.476
Otras Comunidades Autónomas	Dato base	2018M02	337.950
Otras Comunidades Autónomas	Dato base	2018M01	413.842
Otras Comunidades Autónomas	Dato base	2017M12	416.889
Otras Comunidades Autónomas	Dato base	2017M11	437.748
Otras Comunidades Autónomas	Dato base	2017M10	645.718
Otras Comunidades Autónomas	Dato base	2017M09	808.077
Otras Comunidades Autónomas	Dato base	2017M08	1.200.137
Otras Comunidades Autónomas	Dato base	2017M07	1.111.660
Otras Comunidades Autónomas	Dato base	2017M06	635.744
Otras Comunidades Autónomas	Dato base	2017M05	651.158
Otras Comunidades Autónomas	Dato base	2017M04	605.784
Otras Comunidades Autónomas	Dato base	2017M03	424.202
Otras Comunidades Autónomas	Dato base	2017M02	318.335
Otras Comunidades Autónomas	Dato base	2017M01	344.125
Otras Comunidades Autónomas	Dato base	2016M12	388.197
Otras Comunidades Autónomas	Dato base	2016M11	392.468
Otras Comunidades Autónomas	Dato base	2016M10	622.031
Otras Comunidades Autónomas	Dato base	2016M09	721.945
Otras Comunidades Autónomas	Dato base	2016M08	1.139.144
Otras Comunidades Autónomas	Dato base	2016M07	883.891
Otras Comunidades Autónomas	Dato base	2016M06	577.033
Otras Comunidades Autónomas	Dato base	2016M05	549.674
Otras Comunidades Autónomas	Dato base	2016M04	556.678
Otras Comunidades Autónomas	Dato base	2016M03	408.953
Otras Comunidades Autónomas	Dato base	2016M02	293.232
Otras Comunidades Autónomas	Dato base	2016M01	280.922
Otras Comunidades Autónomas	Dato base	2015M12	373.199
Otras Comunidades Autónomas	Dato base	2015M11	318.319
Otras Comunidades Autónomas	Dato base	2015M10	641.412
Otras Comunidades Autónomas	Tasa de variación anual	2021M09	91,43
Otras Comunidades Autónomas	Tasa de variación anual	2021M08	28,57
Otras Comunidades Autónomas	Tasa de variación anual	2021M07	15,02
Otras Comunidades Autónomas	Tasa de variación anual	2021M06	642,84
Otras Comunidades Autónomas	Tasa de variación anual	2021M05	..
Otras Comunidades Autónomas	Tasa de variación anual	2021M04	..
Otras Comunidades Autónomas	Tasa de variación anual	2021M03	-68,6
Otras Comunidades Autónomas	Tasa de variación anual	2021M02	-87,35
Otras Comunidades Autónomas	Tasa de variación anual	2021M01	-74,93
Otras Comunidades Autónomas	Tasa de variación anual	2020M12	-68,09
Otras Comunidades Autónomas	Tasa de variación anual	2020M11	-84,02
Otras Comunidades Autónomas	Tasa de variación anual	2020M10	-71,87
Otras Comunidades Autónomas	Tasa de variación anual	2020M09	-70,78
Otras Comunidades Autónomas	Tasa de variación anual	2020M08	-65,04
Otras Comunidades Autónomas	Tasa de variación anual	2020M07	-59,24
Otras Comunidades Autónomas	Tasa de variación anual	2020M06	-96,05
Otras Comunidades Autónomas	Tasa de variación anual	2020M05	-100
Otras Comunidades Autónomas	Tasa de variación anual	2020M04	-100
Otras Comunidades Autónomas	Tasa de variación anual	2020M03	-53,72
Otras Comunidades Autónomas	Tasa de variación anual	2020M02	7,63
Otras Comunidades Autónomas	Tasa de variación anual	2020M01	-0,89
Otras Comunidades Autónomas	Tasa de variación anual	2019M12	1,37
Otras Comunidades Autónomas	Tasa de variación anual	2019M11	1,43
Otras Comunidades Autónomas	Tasa de variación anual	2019M10	1,12
Otras Comunidades Autónomas	Tasa de variación anual	2019M09	-1,42
Otras Comunidades Autónomas	Tasa de variación anual	2019M08	0,11
Otras Comunidades Autónomas	Tasa de variación anual	2019M07	3,11
Otras Comunidades Autónomas	Tasa de variación anual	2019M06	18,71
Otras Comunidades Autónomas	Tasa de variación anual	2019M05	-11,63
Otras Comunidades Autónomas	Tasa de variación anual	2019M04	-5,62
Otras Comunidades Autónomas	Tasa de variación anual	2019M03	7,51
Otras Comunidades Autónomas	Tasa de variación anual	2019M02	18,55
Otras Comunidades Autónomas	Tasa de variación anual	2019M01	-0,46
Otras Comunidades Autónomas	Tasa de variación anual	2018M12	5,25
Otras Comunidades Autónomas	Tasa de variación anual	2018M11	-3,01
Otras Comunidades Autónomas	Tasa de variación anual	2018M10	13,3
Otras Comunidades Autónomas	Tasa de variación anual	2018M09	2,92
Otras Comunidades Autónomas	Tasa de variación anual	2018M08	3,29
Otras Comunidades Autónomas	Tasa de variación anual	2018M07	-13,37
Otras Comunidades Autónomas	Tasa de variación anual	2018M06	2,83
Otras Comunidades Autónomas	Tasa de variación anual	2018M05	17,02
Otras Comunidades Autónomas	Tasa de variación anual	2018M04	20,56
Otras Comunidades Autónomas	Tasa de variación anual	2018M03	6,9
Otras Comunidades Autónomas	Tasa de variación anual	2018M02	6,16
Otras Comunidades Autónomas	Tasa de variación anual	2018M01	20,26
Otras Comunidades Autónomas	Tasa de variación anual	2017M12	7,39
Otras Comunidades Autónomas	Tasa de variación anual	2017M11	11,54
Otras Comunidades Autónomas	Tasa de variación anual	2017M10	3,81
Otras Comunidades Autónomas	Tasa de variación anual	2017M09	11,93
Otras Comunidades Autónomas	Tasa de variación anual	2017M08	5,35
Otras Comunidades Autónomas	Tasa de variación anual	2017M07	25,77
Otras Comunidades Autónomas	Tasa de variación anual	2017M06	10,17
Otras Comunidades Autónomas	Tasa de variación anual	2017M05	18,46
Otras Comunidades Autónomas	Tasa de variación anual	2017M04	8,82
Otras Comunidades Autónomas	Tasa de variación anual	2017M03	3,73
Otras Comunidades Autónomas	Tasa de variación anual	2017M02	8,56
Otras Comunidades Autónomas	Tasa de variación anual	2017M01	22,5
Otras Comunidades Autónomas	Tasa de variación anual	2016M12	4,02
Otras Comunidades Autónomas	Tasa de variación anual	2016M11	23,29
Otras Comunidades Autónomas	Tasa de variación anual	2016M10	-3,02
Otras Comunidades Autónomas	Tasa de variación anual	2016M09	3,65
Otras Comunidades Autónomas	Tasa de variación anual	2016M08	6,83
Otras Comunidades Autónomas	Tasa de variación anual	2016M07	-1,79
Otras Comunidades Autónomas	Tasa de variación anual	2016M06	10,91
Otras Comunidades Autónomas	Tasa de variación anual	2016M05	4,57
Otras Comunidades Autónomas	Tasa de variación anual	2016M04	12,93
Otras Comunidades Autónomas	Tasa de variación anual	2016M03	16,93
Otras Comunidades Autónomas	Tasa de variación anual	2016M02	1,99
Otras Comunidades Autónomas	Tasa de variación anual	2016M01	-8,65
Otras Comunidades Autónomas	Tasa de variación anual	2015M12	6,53
Otras Comunidades Autónomas	Tasa de variación anual	2015M11	18,22
Otras Comunidades Autónomas	Tasa de variación anual	2015M10	25,74
Otras Comunidades Autónomas	Acumulado en lo que va de año	2021M09	2.193.859
Otras Comunidades Autónomas	Acumulado en lo que va de año	2021M08	1.735.296
Otras Comunidades Autónomas	Acumulado en lo que va de año	2021M07	1.177.508
Otras Comunidades Autónomas	Acumulado en lo que va de año	2021M06	711.995
Otras Comunidades Autónomas	Acumulado en lo que va de año	2021M05	484.133
Otras Comunidades Autónomas	Acumulado en lo que va de año	2021M04	309.088
Otras Comunidades Autónomas	Acumulado en lo que va de año	2021M03	227.758
Otras Comunidades Autónomas	Acumulado en lo que va de año	2021M02	156.915
Otras Comunidades Autónomas	Acumulado en lo que va de año	2021M01	102.361
Otras Comunidades Autónomas	Acumulado en lo que va de año	2020M12	2.592.786
Otras Comunidades Autónomas	Acumulado en lo que va de año	2020M11	2.450.835
Otras Comunidades Autónomas	Acumulado en lo que va de año	2020M10	2.382.023
Otras Comunidades Autónomas	Acumulado en lo que va de año	2020M09	2.173.939
Otras Comunidades Autónomas	Acumulado en lo que va de año	2020M08	1.934.398
Otras Comunidades Autónomas	Acumulado en lo que va de año	2020M07	1.500.545
Otras Comunidades Autónomas	Acumulado en lo que va de año	2020M06	1.095.817
Otras Comunidades Autónomas	Acumulado en lo que va de año	2020M05	1.065.142
Otras Comunidades Autónomas	Acumulado en lo que va de año	2020M04	1.065.142
Otras Comunidades Autónomas	Acumulado en lo que va de año	2020M03	1.065.142
Otras Comunidades Autónomas	Acumulado en lo que va de año	2020M02	839.508
Otras Comunidades Autónomas	Acumulado en lo que va de año	2020M01	408.272
Otras Comunidades Autónomas	Acumulado en lo que va de año	2019M12	8.107.727
Otras Comunidades Autónomas	Acumulado en lo que va de año	2019M11	7.662.939
Otras Comunidades Autónomas	Acumulado en lo que va de año	2019M10	7.232.313
Otras Comunidades Autónomas	Acumulado en lo que va de año	2019M09	6.492.485
Otras Comunidades Autónomas	Acumulado en lo que va de año	2019M08	5.672.622
Otras Comunidades Autónomas	Acumulado en lo que va de año	2019M07	4.431.656
Otras Comunidades Autónomas	Acumulado en lo que va de año	2019M06	3.438.734
Otras Comunidades Autónomas	Acumulado en lo que va de año	2019M05	2.662.713
Otras Comunidades Autónomas	Acumulado en lo que va de año	2019M04	1.989.366
Otras Comunidades Autónomas	Acumulado en lo que va de año	2019M03	1.300.121
Otras Comunidades Autónomas	Acumulado en lo que va de año	2019M02	812.606
Otras Comunidades Autónomas	Acumulado en lo que va de año	2019M01	411.955
Otras Comunidades Autónomas	Acumulado en lo que va de año	2018M12	7.980.511
Otras Comunidades Autónomas	Acumulado en lo que va de año	2018M11	7.541.733
Otras Comunidades Autónomas	Acumulado en lo que va de año	2018M10	7.117.166
Otras Comunidades Autónomas	Acumulado en lo que va de año	2018M09	6.385.538
Otras Comunidades Autónomas	Acumulado en lo que va de año	2018M08	5.553.844
Otras Comunidades Autónomas	Acumulado en lo que va de año	2018M07	4.314.279
Otras Comunidades Autónomas	Acumulado en lo que va de año	2018M06	3.351.284
Otras Comunidades Autónomas	Acumulado en lo que va de año	2018M05	2.697.546
Otras Comunidades Autónomas	Acumulado en lo que va de año	2018M04	1.935.584
Otras Comunidades Autónomas	Acumulado en lo que va de año	2018M03	1.205.268
Otras Comunidades Autónomas	Acumulado en lo que va de año	2018M02	751.792
Otras Comunidades Autónomas	Acumulado en lo que va de año	2018M01	413.842
Otras Comunidades Autónomas	Acumulado en lo que va de año	2017M12	7.599.577
Otras Comunidades Autónomas	Acumulado en lo que va de año	2017M11	7.182.688
Otras Comunidades Autónomas	Acumulado en lo que va de año	2017M10	6.744.940
Otras Comunidades Autónomas	Acumulado en lo que va de año	2017M09	6.099.222
Otras Comunidades Autónomas	Acumulado en lo que va de año	2017M08	5.291.145
Otras Comunidades Autónomas	Acumulado en lo que va de año	2017M07	4.091.008
Otras Comunidades Autónomas	Acumulado en lo que va de año	2017M06	2.979.348
Otras Comunidades Autónomas	Acumulado en lo que va de año	2017M05	2.343.604
Otras Comunidades Autónomas	Acumulado en lo que va de año	2017M04	1.692.446
Otras Comunidades Autónomas	Acumulado en lo que va de año	2017M03	1.086.662
Otras Comunidades Autónomas	Acumulado en lo que va de año	2017M02	662.460
Otras Comunidades Autónomas	Acumulado en lo que va de año	2017M01	344.125
Otras Comunidades Autónomas	Acumulado en lo que va de año	2016M12	6.814.166
Otras Comunidades Autónomas	Acumulado en lo que va de año	2016M11	6.425.970
Otras Comunidades Autónomas	Acumulado en lo que va de año	2016M10	6.033.501
Otras Comunidades Autónomas	Acumulado en lo que va de año	2016M09	5.411.471
Otras Comunidades Autónomas	Acumulado en lo que va de año	2016M08	4.689.526
Otras Comunidades Autónomas	Acumulado en lo que va de año	2016M07	3.550.382
Otras Comunidades Autónomas	Acumulado en lo que va de año	2016M06	2.666.492
Otras Comunidades Autónomas	Acumulado en lo que va de año	2016M05	2.089.458
Otras Comunidades Autónomas	Acumulado en lo que va de año	2016M04	1.539.785
Otras Comunidades Autónomas	Acumulado en lo que va de año	2016M03	983.106
Otras Comunidades Autónomas	Acumulado en lo que va de año	2016M02	574.153
Otras Comunidades Autónomas	Acumulado en lo que va de año	2016M01	280.922
Otras Comunidades Autónomas	Acumulado en lo que va de año	2015M12	""
Otras Comunidades Autónomas	Acumulado en lo que va de año	2015M11	""
Otras Comunidades Autónomas	Acumulado en lo que va de año	2015M10	""
Otras Comunidades Autónomas	Tasa de variación acumulada	2021M09	0,92
Otras Comunidades Autónomas	Tasa de variación acumulada	2021M08	-10,29
Otras Comunidades Autónomas	Tasa de variación acumulada	2021M07	-21,53
Otras Comunidades Autónomas	Tasa de variación acumulada	2021M06	-35,03
Otras Comunidades Autónomas	Tasa de variación acumulada	2021M05	-54,55
Otras Comunidades Autónomas	Tasa de variación acumulada	2021M04	-70,98
Otras Comunidades Autónomas	Tasa de variación acumulada	2021M03	-78,62
Otras Comunidades Autónomas	Tasa de variación acumulada	2021M02	-81,31
Otras Comunidades Autónomas	Tasa de variación acumulada	2021M01	-74,93
Otras Comunidades Autónomas	Tasa de variación acumulada	2020M12	-68,02
Otras Comunidades Autónomas	Tasa de variación acumulada	2020M11	-68,02
Otras Comunidades Autónomas	Tasa de variación acumulada	2020M10	-67,06
Otras Comunidades Autónomas	Tasa de variación acumulada	2020M09	-66,52
Otras Comunidades Autónomas	Tasa de variación acumulada	2020M08	-65,9
Otras Comunidades Autónomas	Tasa de variación acumulada	2020M07	-66,14
Otras Comunidades Autónomas	Tasa de variación acumulada	2020M06	-68,13
Otras Comunidades Autónomas	Tasa de variación acumulada	2020M05	-60
Otras Comunidades Autónomas	Tasa de variación acumulada	2020M04	-46,46
Otras Comunidades Autónomas	Tasa de variación acumulada	2020M03	-18,07
Otras Comunidades Autónomas	Tasa de variación acumulada	2020M02	3,31
Otras Comunidades Autónomas	Tasa de variación acumulada	2020M01	-0,89
Otras Comunidades Autónomas	Tasa de variación acumulada	2019M12	1,59
Otras Comunidades Autónomas	Tasa de variación acumulada	2019M11	1,61
Otras Comunidades Autónomas	Tasa de variación acumulada	2019M10	1,62
Otras Comunidades Autónomas	Tasa de variación acumulada	2019M09	1,67
Otras Comunidades Autónomas	Tasa de variación acumulada	2019M08	2,14
Otras Comunidades Autónomas	Tasa de variación acumulada	2019M07	2,72
Otras Comunidades Autónomas	Tasa de variación acumulada	2019M06	2,61
Otras Comunidades Autónomas	Tasa de variación acumulada	2019M05	-1,29
Otras Comunidades Autónomas	Tasa de variación acumulada	2019M04	2,78
Otras Comunidades Autónomas	Tasa de variación acumulada	2019M03	7,87
Otras Comunidades Autónomas	Tasa de variación acumulada	2019M02	8,09
Otras Comunidades Autónomas	Tasa de variación acumulada	2019M01	-0,46
Otras Comunidades Autónomas	Tasa de variación acumulada	2018M12	5,01
Otras Comunidades Autónomas	Tasa de variación acumulada	2018M11	5
Otras Comunidades Autónomas	Tasa de variación acumulada	2018M10	5,52
Otras Comunidades Autónomas	Tasa de variación acumulada	2018M09	4,69
Otras Comunidades Autónomas	Tasa de variación acumulada	2018M08	4,96
Otras Comunidades Autónomas	Tasa de variación acumulada	2018M07	5,46
Otras Comunidades Autónomas	Tasa de variación acumulada	2018M06	12,48
Otras Comunidades Autónomas	Tasa de variación acumulada	2018M05	15,1
Otras Comunidades Autónomas	Tasa de variación acumulada	2018M04	14,37
Otras Comunidades Autónomas	Tasa de variación acumulada	2018M03	10,91
Otras Comunidades Autónomas	Tasa de variación acumulada	2018M02	13,48
Otras Comunidades Autónomas	Tasa de variación acumulada	2018M01	20,26
Otras Comunidades Autónomas	Tasa de variación acumulada	2017M12	11,53
Otras Comunidades Autónomas	Tasa de variación acumulada	2017M11	11,78
Otras Comunidades Autónomas	Tasa de variación acumulada	2017M10	11,79
Otras Comunidades Autónomas	Tasa de variación acumulada	2017M09	12,71
Otras Comunidades Autónomas	Tasa de variación acumulada	2017M08	12,83
Otras Comunidades Autónomas	Tasa de variación acumulada	2017M07	15,23
Otras Comunidades Autónomas	Tasa de variación acumulada	2017M06	11,73
Otras Comunidades Autónomas	Tasa de variación acumulada	2017M05	12,16
Otras Comunidades Autónomas	Tasa de variación acumulada	2017M04	9,91
Otras Comunidades Autónomas	Tasa de variación acumulada	2017M03	10,53
Otras Comunidades Autónomas	Tasa de variación acumulada	2017M02	15,38
Otras Comunidades Autónomas	Tasa de variación acumulada	2017M01	22,5
Otras Comunidades Autónomas	Tasa de variación acumulada	2016M12	5,17
Otras Comunidades Autónomas	Tasa de variación acumulada	2016M11	5,24
Otras Comunidades Autónomas	Tasa de variación acumulada	2016M10	4,24
Otras Comunidades Autónomas	Tasa de variación acumulada	2016M09	5,15
Otras Comunidades Autónomas	Tasa de variación acumulada	2016M08	5,38
Otras Comunidades Autónomas	Tasa de variación acumulada	2016M07	4,93
Otras Comunidades Autónomas	Tasa de variación acumulada	2016M06	7,36
Otras Comunidades Autónomas	Tasa de variación acumulada	2016M05	6,42
Otras Comunidades Autónomas	Tasa de variación acumulada	2016M04	7,1
Otras Comunidades Autónomas	Tasa de variación acumulada	2016M03	4,06
Otras Comunidades Autónomas	Tasa de variación acumulada	2016M02	-3,51
Otras Comunidades Autónomas	Tasa de variación acumulada	2016M01	-8,65
Otras Comunidades Autónomas	Tasa de variación acumulada	2015M12	""
Otras Comunidades Autónomas	Tasa de variación acumulada	2015M11	""
Otras Comunidades Autónomas	Tasa de variación acumulada	2015M10	""
