Motivo del viaje	Tipo de dato	Periodo	Total
Otros motivos	Tasa de variación anual	2020M01	-6,8
Otros motivos	Tasa de variación anual	2019M12	-16,32
Otros motivos	Tasa de variación anual	2019M11	6,3
Otros motivos	Tasa de variación anual	2019M10	-8,36
Otros motivos	Tasa de variación anual	2019M09	-12,4
Otros motivos	Tasa de variación anual	2019M08	-24,97
Otros motivos	Tasa de variación anual	2019M07	-23,02
Otros motivos	Tasa de variación anual	2019M06	-22,85
Otros motivos	Tasa de variación anual	2019M05	-11,16
Otros motivos	Tasa de variación anual	2019M04	2,09
Otros motivos	Tasa de variación anual	2019M03	2,66
Otros motivos	Tasa de variación anual	2019M02	24,29
Otros motivos	Tasa de variación anual	2019M01	10,38
Otros motivos	Tasa de variación anual	2018M12	9,58
Otros motivos	Tasa de variación anual	2018M11	-2,64
Otros motivos	Tasa de variación anual	2018M10	-6,95
Otros motivos	Tasa de variación anual	2018M09	5,4
Otros motivos	Tasa de variación anual	2018M08	0,86
Otros motivos	Tasa de variación anual	2018M07	-13,72
Otros motivos	Tasa de variación anual	2018M06	4,83
Otros motivos	Tasa de variación anual	2018M05	-16,24
Otros motivos	Tasa de variación anual	2018M04	-25,89
Otros motivos	Tasa de variación anual	2018M03	-2,11
Otros motivos	Tasa de variación anual	2018M02	-15,84
Otros motivos	Tasa de variación anual	2018M01	-14,96
Otros motivos	Tasa de variación anual	2017M12	-21,35
Otros motivos	Tasa de variación anual	2017M11	-21,47
Otros motivos	Tasa de variación anual	2017M10	-8,92
Otros motivos	Tasa de variación anual	2017M09	-13,14
Otros motivos	Tasa de variación anual	2017M08	4,3
Otros motivos	Tasa de variación anual	2017M07	22,99
Otros motivos	Tasa de variación anual	2017M06	1,72
Otros motivos	Tasa de variación anual	2017M05	10,62
Otros motivos	Tasa de variación anual	2017M04	-7,64
Otros motivos	Tasa de variación anual	2017M03	-3,59
Otros motivos	Tasa de variación anual	2017M02	-8,92
Otros motivos	Tasa de variación anual	2017M01	-13,14
Otros motivos	Tasa de variación anual	2016M12	-7,39
Otros motivos	Tasa de variación anual	2016M11	-1,38
Otros motivos	Tasa de variación anual	2016M10	-24,56
Otros motivos	Tasa de variación anual	2016M09	39,96
Otros motivos	Tasa de variación anual	2016M08	24,27
Otros motivos	Tasa de variación anual	2016M07	27,32
Otros motivos	Tasa de variación anual	2016M06	67,55
Otros motivos	Tasa de variación anual	2016M05	45,47
Otros motivos	Tasa de variación anual	2016M04	48,96
Otros motivos	Tasa de variación anual	2016M03	37,29
Otros motivos	Tasa de variación anual	2016M02	30,88
Otros motivos	Tasa de variación anual	2016M01	46,29
Otros motivos	Tasa de variación anual	2015M12	61,09
Otros motivos	Tasa de variación anual	2015M11	51,05
Otros motivos	Tasa de variación anual	2015M10	62,72
Otros motivos	Acumulado en lo que va de año	2021M09	1.741.216
Otros motivos	Acumulado en lo que va de año	2021M08	1.456.634
Otros motivos	Acumulado en lo que va de año	2021M07	1.128.377
Otros motivos	Acumulado en lo que va de año	2021M06	781.240
Otros motivos	Acumulado en lo que va de año	2021M05	531.266
Otros motivos	Acumulado en lo que va de año	2021M04	354.804
Otros motivos	Acumulado en lo que va de año	2021M03	248.882
Otros motivos	Acumulado en lo que va de año	2021M02	156.022
Otros motivos	Acumulado en lo que va de año	2021M01	99.898
Otros motivos	Acumulado en lo que va de año	2020M12	2.053.516
Otros motivos	Acumulado en lo que va de año	2020M11	1.892.996
Otros motivos	Acumulado en lo que va de año	2020M10	1.812.821
Otros motivos	Acumulado en lo que va de año	2020M09	1.663.469
Otros motivos	Acumulado en lo que va de año	2020M08	1.502.064
Otros motivos	Acumulado en lo que va de año	2020M07	1.276.242
Otros motivos	Acumulado en lo que va de año	2020M06	1.030.979
Otros motivos	Acumulado en lo que va de año	2020M05	1.007.021
Otros motivos	Acumulado en lo que va de año	2020M04	1.007.021
Otros motivos	Acumulado en lo que va de año	2020M03	1.007.021
Otros motivos	Acumulado en lo que va de año	2020M02	803.991
Otros motivos	Acumulado en lo que va de año	2020M01	385.013
Otros motivos	Acumulado en lo que va de año	2019M12	5.123.547
Otros motivos	Acumulado en lo que va de año	2019M11	4.736.712
Otros motivos	Acumulado en lo que va de año	2019M10	4.387.643
Otros motivos	Acumulado en lo que va de año	2019M09	4.005.834
Otros motivos	Acumulado en lo que va de año	2019M08	3.622.250
Otros motivos	Acumulado en lo que va de año	2019M07	3.142.170
Otros motivos	Acumulado en lo que va de año	2019M06	2.670.361
Otros motivos	Acumulado en lo que va de año	2019M05	2.243.149
Otros motivos	Acumulado en lo que va de año	2019M04	1.786.923
Otros motivos	Acumulado en lo que va de año	2019M03	1.293.514
Otros motivos	Acumulado en lo que va de año	2019M02	816.455
Otros motivos	Acumulado en lo que va de año	2019M01	413.090
Otros motivos	Acumulado en lo que va de año	2018M12	5.612.005
Otros motivos	Acumulado en lo que va de año	2018M11	5.149.730
Otros motivos	Acumulado en lo que va de año	2018M10	4.821.343
Otros motivos	Acumulado en lo que va de año	2018M09	4.404.687
Otros motivos	Acumulado en lo que va de año	2018M08	3.966.803
Otros motivos	Acumulado en lo que va de año	2018M07	3.326.962
Otros motivos	Acumulado en lo que va de año	2018M06	2.714.054
Otros motivos	Acumulado en lo que va de año	2018M05	2.160.345
Otros motivos	Acumulado en lo que va de año	2018M04	1.646.802
Otros motivos	Acumulado en lo que va de año	2018M03	1.163.500
Otros motivos	Acumulado en lo que va de año	2018M02	698.798
Otros motivos	Acumulado en lo que va de año	2018M01	374.254
Otros motivos	Acumulado en lo que va de año	2017M12	6.060.956
Otros motivos	Acumulado en lo que va de año	2017M11	5.639.102
Otros motivos	Acumulado en lo que va de año	2017M10	5.301.821
Otros motivos	Acumulado en lo que va de año	2017M09	4.854.068
Otros motivos	Acumulado en lo que va de año	2017M08	4.438.609
Otros motivos	Acumulado en lo que va de año	2017M07	3.804.232
Otros motivos	Acumulado en lo que va de año	2017M06	3.093.874
Otros motivos	Acumulado en lo que va de año	2017M05	2.565.682
Otros motivos	Acumulado en lo que va de año	2017M04	1.952.567
Otros motivos	Acumulado en lo que va de año	2017M03	1.300.430
Otros motivos	Acumulado en lo que va de año	2017M02	825.709
Otros motivos	Acumulado en lo que va de año	2017M01	440.081
Otros motivos	Acumulado en lo que va de año	2016M12	6.323.567
Otros motivos	Acumulado en lo que va de año	2016M11	5.787.222
Otros motivos	Acumulado en lo que va de año	2016M10	5.357.740
Otros motivos	Acumulado en lo que va de año	2016M09	4.866.126
Otros motivos	Acumulado en lo que va de año	2016M08	4.387.820
Otros motivos	Acumulado en lo que va de año	2016M07	3.779.622
Otros motivos	Acumulado en lo que va de año	2016M06	3.202.067
Otros motivos	Acumulado en lo que va de año	2016M05	2.682.802
Otros motivos	Acumulado en lo que va de año	2016M04	2.128.566
Otros motivos	Acumulado en lo que va de año	2016M03	1.422.453
Otros motivos	Acumulado en lo que va de año	2016M02	930.065
Otros motivos	Acumulado en lo que va de año	2016M01	506.662
Otros motivos	Acumulado en lo que va de año	2015M12	""
Otros motivos	Acumulado en lo que va de año	2015M11	""
Otros motivos	Acumulado en lo que va de año	2015M10	""
Otros motivos	Tasa de variación acumulada	2021M09	4,67
Otros motivos	Tasa de variación acumulada	2021M08	-3,02
Otros motivos	Tasa de variación acumulada	2021M07	-11,59
Otros motivos	Tasa de variación acumulada	2021M06	-24,22
Otros motivos	Tasa de variación acumulada	2021M05	-47,24
Otros motivos	Tasa de variación acumulada	2021M04	-64,77
Otros motivos	Tasa de variación acumulada	2021M03	-75,29
Otros motivos	Tasa de variación acumulada	2021M02	-80,59
Otros motivos	Tasa de variación acumulada	2021M01	-74,05
Otros motivos	Tasa de variación acumulada	2020M12	-59,92
Otros motivos	Tasa de variación acumulada	2020M11	-60,04
Otros motivos	Tasa de variación acumulada	2020M10	-58,68
Otros motivos	Tasa de variación acumulada	2020M09	-58,47
Otros motivos	Tasa de variación acumulada	2020M08	-58,53
Otros motivos	Tasa de variación acumulada	2020M07	-59,38
Otros motivos	Tasa de variación acumulada	2020M06	-61,39
Otros motivos	Tasa de variación acumulada	2020M05	-55,11
Otros motivos	Tasa de variación acumulada	2020M04	-43,64
Otros motivos	Tasa de variación acumulada	2020M03	-22,15
Otros motivos	Tasa de variación acumulada	2020M02	-1,53
Otros motivos	Tasa de variación acumulada	2020M01	-6,8
Otros motivos	Tasa de variación acumulada	2019M12	-8,7
Otros motivos	Tasa de variación acumulada	2019M11	-8,02
Otros motivos	Tasa de variación acumulada	2019M10	-9
Otros motivos	Tasa de variación acumulada	2019M09	-9,06
Otros motivos	Tasa de variación acumulada	2019M08	-8,69
Otros motivos	Tasa de variación acumulada	2019M07	-5,55
Otros motivos	Tasa de variación acumulada	2019M06	-1,61
Otros motivos	Tasa de variación acumulada	2019M05	3,83
Otros motivos	Tasa de variación acumulada	2019M04	8,51
Otros motivos	Tasa de variación acumulada	2019M03	11,17
Otros motivos	Tasa de variación acumulada	2019M02	16,84
Otros motivos	Tasa de variación acumulada	2019M01	10,38
Otros motivos	Tasa de variación acumulada	2018M12	-7,41
Otros motivos	Tasa de variación acumulada	2018M11	-8,68
Otros motivos	Tasa de variación acumulada	2018M10	-9,06
Otros motivos	Tasa de variación acumulada	2018M09	-9,26
Otros motivos	Tasa de variación acumulada	2018M08	-10,63
Otros motivos	Tasa de variación acumulada	2018M07	-12,55
Otros motivos	Tasa de variación acumulada	2018M06	-12,28
Otros motivos	Tasa de variación acumulada	2018M05	-15,8
Otros motivos	Tasa de variación acumulada	2018M04	-15,66
Otros motivos	Tasa de variación acumulada	2018M03	-10,53
Otros motivos	Tasa de variación acumulada	2018M02	-15,37
Otros motivos	Tasa de variación acumulada	2018M01	-14,96
Otros motivos	Tasa de variación acumulada	2017M12	-4,15
Otros motivos	Tasa de variación acumulada	2017M11	-2,56
Otros motivos	Tasa de variación acumulada	2017M10	-1,04
Otros motivos	Tasa de variación acumulada	2017M09	-0,25
Otros motivos	Tasa de variación acumulada	2017M08	1,16
Otros motivos	Tasa de variación acumulada	2017M07	0,65
Otros motivos	Tasa de variación acumulada	2017M06	-3,38
Otros motivos	Tasa de variación acumulada	2017M05	-4,37
Otros motivos	Tasa de variación acumulada	2017M04	-8,27
Otros motivos	Tasa de variación acumulada	2017M03	-8,58
Otros motivos	Tasa de variación acumulada	2017M02	-11,22
Otros motivos	Tasa de variación acumulada	2017M01	-13,14
Otros motivos	Tasa de variación acumulada	2016M12	22,92
Otros motivos	Tasa de variación acumulada	2016M11	26,76
Otros motivos	Tasa de variación acumulada	2016M10	29,73
Otros motivos	Tasa de variación acumulada	2016M09	39,9
Otros motivos	Tasa de variación acumulada	2016M08	39,9
Otros motivos	Tasa de variación acumulada	2016M07	42,78
Otros motivos	Tasa de variación acumulada	2016M06	45,98
Otros motivos	Tasa de variación acumulada	2016M05	42,43
Otros motivos	Tasa de variación acumulada	2016M04	41,67
Otros motivos	Tasa de variación acumulada	2016M03	38,3
Otros motivos	Tasa de variación acumulada	2016M02	38,85
Otros motivos	Tasa de variación acumulada	2016M01	46,29
Otros motivos	Tasa de variación acumulada	2015M12	""
Otros motivos	Tasa de variación acumulada	2015M11	""
Otros motivos	Tasa de variación acumulada	2015M10	""
